.rownames,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid
Mazda RX4,21,6,160,110,3.9,2.62,16.46,0,1,4,4,22.593749951750485,-1.5937499517504854,0.04048626926227582,3.9173667210407164,0.00374261215123024,-0.4211861937949944
Mazda RX4 Wag,21,6,160,110,3.9,2.875,17.02,0,1,4,4,22.593749951750485,-1.5937499517504854,0.04048626926227574,3.917366721040717,0.0037426121512300894,-0.42118619379498634
Datsun 710,22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,23.753630678967067,-0.9536306789670661,0.051029108391983276,3.924792989037102,0.001726639646315896,-0.2534155776287916
Hornet 4 Drive,21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,22.593749951750485,-1.1937499517504868,0.04048626926227574,3.922477866101836,0.002099719048349918,-0.31547671450499337
Hornet Sportabout,18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,18.15891187709885,0.5410881229011508,0.03675068514301153,3.9276665308181498,3.885555417176023e-4,0.1427178142885466
Valiant,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,22.9348913421083,-4.8348913421083,0.04317537516672884,3.8202875953766937,0.03693804889052541,-1.2795288591038303
Duster 360,14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,13.382932412089392,0.9170675879106085,0.09757508695633524,3.924908809355547,0.0033763585957210787,0.2499052301776502
Merc 240D,24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,25.86870729918554,-1.4687072991855423,0.0804651681441738,3.9186928340171514,0.006878142077346736,-0.3964885955699083
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,23.61717412282394,-0.8171741228239391,0.04958290980987548,3.9259161131507505,0.0012281794590021232,-0.21698865415203838
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,21.706782336820158,-2.5067823368201587,0.03510033753211272,3.9003172423717176,0.007937967534681402,-0.6606251266005568
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,21.706782336820158,-3.9067823368201573,0.03510033753211272,3.85896243944631,0.019280331536366727,-1.0295742625729989
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,17.81777048674103,-1.4177704867410306,0.03886508579834707,3.9198124504163827,0.0028335564505107273,-0.37436332323770005
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,17.81777048674103,-0.5177704867410284,0.03886508579834707,3.9277763593983765,3.779153998227353e-4,-0.13671767179773417
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,17.81777048674103,-2.61777048674103,0.03886508579834707,3.8975876271158594,0.009660133765405083,-0.6912241918243202
Cadillac Fleetwood,10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,16.112063534951936,-5.712063534951936,0.05458370324622688,3.77451929790766,0.06676240457525101,-1.5207612100906411
Lincoln Continental,10.4,8,460,215,3,5.424,17.82,0,0,3,4,15.429780754236301,-5.029780754236301,0.06327290350527313,3.8086415971142205,0.06112498844714224,-1.3453090148471178
Chrysler Imperial,14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,14.406356583162847,0.29364341683715267,0.07888001097944355,3.928589740365569,2.685988624167988e-4,0.07920301327238524
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,25.595794186899283,6.804205813100715,0.07592585444517352,3.7026231192846284,0.1379304062157544,1.8323294892685582
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,26.550990079901176,3.8490099200988226,0.09277415370363219,3.8566755676675046,0.055952992149909064,1.0460943641758447
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,25.66402246497085,8.23597753502915,0.07704009641323878,3.592046099605416,0.20554671411119285,2.2192349093992476
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,23.480717566680813,-1.9807175666808128,0.04819160844559384,3.9108709292485235,0.006992726655129082,-0.5255660795804915
Dodge Challenger,15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,19.864618828887938,-4.364618828887938,0.03132529603753596,3.841732613188674,0.021308898121833144,-1.1479867664548948
AMC Javelin,15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,19.864618828887938,-4.664618828887939,0.03132529603753596,3.829162176758939,0.024338884584758528,-1.2268930910248728
Camaro Z28,13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,13.382932412089392,-0.0829324120893915,0.09757508695633524,3.9289671016786882,2.7611784243803006e-5,-0.02259947228056286
Pontiac Firebird,19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,18.15891187709885,1.0410881229011508,0.03675068514301153,3.924059722955001,0.0014384411184011937,0.27459819407154556
Fiat X1-9,27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,25.595794186899283,1.7042058131007174,0.07592585444517352,3.9151842562028802,0.008652651590627166,0.4589318214206573
Porsche 914-2,26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,23.890087235110194,2.109912764889806,0.05253020419191723,3.908327828375758,0.00872843581660437,0.5611272395515927
Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,22.389065117535793,8.010934882464205,0.03903749737308234,3.6241157326260307,0.09090014389900081,2.1154829038934126
Ford Pantera L,15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,12.086595128729682,3.7134048712703187,0.12568846686652685,3.8591700801242648,0.07596905123020065,1.0280606545381343
Ferrari Dino,19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,18.15891187709885,1.5410881229011508,0.03675068514301153,3.9181661341298146,0.0031518972546030846,0.4064785738545445
Maserati Bora,15,8,301,335,3.54,3.57,14.6,0,1,5,8,7.242387385648664,7.757612614351336,0.2745928813748322,3.546310563565985,1.0522305537955106,2.357852977427002
Volvo 142E,21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,22.661978229822047,-1.2619782298220485,0.040996641834253285,3.921706360486081,0.0023787063755551187,-0.3335963868894436
